url	league_name
33	GERMAN 3. BUNDESLIGA
472	SPANISH SEGUNDA DIVISIÓN
463	SPAIN PRIMERA DIVISION
1952	ENGLISH LEAGUE CHAMPIONSHIP
100765	RUSSIAN PREMIER LEAGUE
244	SPANISH SEGUNDA DIVISIÓN
232	BELGIAN JUPILER PRO LEAGUE
1881	MEXICAN LIGA MX
1919	ENGLISH LEAGUE CHAMPIONSHIP
121	ENGLISH LEAGUE TWO
110093	ARGENTINA PRIMERA DIVISIÓN
347	ITALIAN SERIE A
101146	JAPANESE J. LEAGUE DIVISION 1
100888	SPAIN PRIMERA DIVISION
110781	MEXICAN LIGA MX
1940	ENGLISH LEAGUE TWO
64	FRENCH LIGUE 2
1793	ENGLISH LEAGUE CHAMPIONSHIP
10030	GERMAN 1. BUNDESLIGA
254	AUSTRIAN FOOTBALL BUNDESLIGA
111109	INTERNATIONAL
689	USA MAJOR LEAGUE SOCCER
1807	ENGLISH LEAGUE CHAMPIONSHIP
1804	ENGLISH LEAGUE TWO
1945	ENGLISH LEAGUE ONE
89	ENGLISH LEAGUE CHAMPIONSHIP
1882	MEXICAN LIGA MX
110832	SPAIN PRIMERA DIVISION
206	ITALIAN SERIE A
1871	POLISH T-MOBILE EKSTRAKLASA
224	FRENCH LIGUE 1
1861	SPANISH SEGUNDA DIVISIÓN
112678	MEXICAN LIGA MX
113134	MEXICAN LIGA MX
110144	MEXICAN LIGA MX
1365	INTERNATIONAL
1920	ENGLISH LEAGUE TWO
1356	INTERNATIONAL
467	SPAIN PRIMERA DIVISION
1932	ENGLISH LEAGUE CHAMPIONSHIP
1935	ENGLISH LEAGUE TWO
97	ENGLISH LEAGUE CHAMPIONSHIP
110147	MEXICAN LIGA MX
1801	ENGLISH LEAGUE CHAMPIONSHIP
503	GERMAN 2. BUNDESLIGA
1377	INTERNATIONAL
111822	AUSTRIAN FOOTBALL BUNDESLIGA
62	FRENCH LIGUE 2
110329	GERMAN 2. BUNDESLIGA
1886	INTERNATIONAL
1900	PORTUGUESE LIGA ZON SAGRES
1929	ENGLISH LEAGUE TWO
